date,CSS,HTML,JavaScript,Lua,Luau,Mako,Python,Shell,TypeScript
2026-08-11,958905,900175,1590900,354048,185849,635,3014753,11490,47770
2026-08-12,958905,900175,1590900,354048,185849,635,3014753,11490,53588
2026-08-13,958905,900175,1590900,354048,185849,635,3014753,11490,53588
2026-08-14,958905,900175,1590900,354048,185849,635,3014753,11490,63887
2026-08-15,958905,900175,1590900,354048,185849,635,3014753,11490,64118
2026-08-16,958905,900175,1590900,354048,185849,635,3014753,11490,64118
2026-08-17,958905,900175,1590900,354048,185849,635,3014753,11490,64118
2026-08-18,958905,900175,1590900,354048,185849,635,3014753,11490,64118
2026-08-19,958905,900175,1590900,354048,185849,635,3014753,11490,64118
2026-08-20,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-21,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-22,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-23,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-24,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-25,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-26,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-27,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-28,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-29,960548,900175,1592669,354048,185849,635,3027308,12059,175323
2026-08-30,960548,900175,1592669,354048,185849,635,3027308,12059,175323
